# Notes : All Entities
# Technology : MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.Triclosan Dosing Negative_2017_Aug_22_13_41_50
# Owner : gxuser
# Created On : Tue Aug 22 13:42:37 EDT 2017
Compound	20170810-01-018(raw)	20170810-01-019(raw)	20170810-01-020(raw)	20170810-01-021(raw)	20170810-01-022(raw)	20170810-01-023(raw)	20170810-01-024(raw)	20170810-01-025(raw)	20170810-01-026(raw)	20170810-01-027(raw)	20170810-01-028(raw)	20170810-01-031(raw)	20170810-01-032(raw)	20170810-01-033(raw)	20170810-01-034(raw)	20170810-01-035(raw)	20170810-01-036(raw)	20170810-01-037(raw)	20170810-01-038(raw)	20170810-01-039(raw)	20170810-01-040(raw)	20170810-01-041(raw)	20170810-01-044(raw)	20170810-01-045(raw)	20170810-01-046(raw)	20170810-01-047(raw)	20170810-01-048(raw)	20170810-01-049(raw)	20170810-01-050(raw)	20170810-01-051(raw)	20170810-01-052(raw)	20170810-01-053(raw)	20170810-01-054(raw)	20170810-01-058(raw)	20170810-01-059(raw)	20170810-01-060(raw)	20170810-01-061(raw)	20170810-01-062(raw)	20170810-01-063(raw)	20170810-01-064(raw)	20170810-01-065(raw)	20170810-01-066(raw)	20170810-01-067(raw)	20170810-01-068(raw)	20170810-01-071(raw)	20170810-01-072(raw)	20170810-01-073(raw)	20170810-01-074(raw)	20170810-01-075(raw)	20170810-01-076(raw)	20170811-01-018(raw)	20170811-01-019(raw)	20170811-01-020(raw)	20170811-01-021(raw)	20170811-01-022(raw)	20170811-01-023(raw)	20170811-01-024(raw)	20170811-01-025(raw)	20170811-01-026(raw)	20170811-01-027(raw)	20170811-01-028(raw)	20170811-01-031(raw)	20170811-01-032(raw)	20170811-01-033(raw)	20170811-01-034(raw)	20170811-01-035(raw)	20170811-01-036(raw)	20170811-01-037(raw)	20170811-01-038(raw)	20170811-01-039(raw)	20170811-01-040(raw)	20170811-01-041(raw)	20170811-01-044(raw)	20170811-01-045(raw)	20170811-01-046(raw)	20170811-01-047(raw)	20170811-01-048(raw)	20170811-01-049(raw)	20170811-01-050(raw)	20170811-01-051(raw)	20170811-01-052(raw)	20170811-01-053(raw)	20170811-01-054(raw)	20170813-01-021(raw)	20170813-01-022(raw)	20170813-01-023(raw)	20170813-01-024(raw)	20170813-01-025(raw)	20170813-01-026(raw)	20170813-01-027(raw)	20170813-01-028(raw)	20170813-01-029(raw)	20170813-01-030(raw)	20170813-01-031(raw)	20170813-01-034(raw)	20170813-01-035(raw)	20170813-01-036(raw)	20170813-01-037(raw)	Alignment Value	Annotations	CAS Number	CompositeSpectrum	Mass	Compound Name	Frequency	Ionization mode	Retention Time
C21H43NO4	1.0	4350707.0	1.1786916E7	6074813.0	1.0193217E7	1.1006119E7	1.2431164E7	1.2433616E7	1.244492E7	1.2857891E7	1.2264449E7	1.0	7533177.0	92520.0	91248.0	33976.0	39491.0	29668.0	32686.0	1.0	1.6621796E7	9959588.0	1.0	8834221.0	1.0040784E7	1.3057346E7	7371026.0	1.1649623E7	9459250.0	8368125.0	1.2971671E7	9543400.0	1.4604454E7	1.0	9487814.0	1.170639E7	8329881.0	6948265.0	5205456.0	1.3531908E7	1.7089372E7	1.0571528E7	1.0161763E7	6770780.0	1.0	9974437.0	1.0609654E7	8276110.0	1.2172001E7	1.4783147E7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28102.0	1.0	1.0	1.0	1.0	9094522.0	1.0	45712.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	77231.0	1.0	1.0	1.0	39154.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	30898.0	1.0	31364.0	1.0	1.0	1.0	1.0	1.0	8942059.0	1.0	1.0		C21H43NO4 [ C21 H43 N O4, db=96.90, tgt=, overall=96.90 ]		(372.3119, 665289.1)(373.314, 141037.62)(374.3177, 20012.6)(375.3104, 2805.78)	373.3176	C21H43NO4	52	Esi-	13.4400015
C22H44O6	1.0	9363068.0	9300226.0	1.0409109E7	9326144.0	1.0236503E7	8671103.0	9222683.0	9460749.0	1.0656456E7	9580947.0	1.0	1.0933061E7	9105347.0	9378605.0	9435892.0	8950741.0	9179041.0	9701124.0	1.0005292E7	1.0106923E7	8986846.0	1.0	1.1280862E7	1.0190416E7	1.0048726E7	1.0449748E7	9566674.0	9643965.0	1.0420033E7	1.06385E7	1.0447187E7	9914741.0	38182.0	1.0284108E7	9532035.0	9028693.0	8828737.0	9687636.0	1.0466943E7	1.129171E7	1.0084511E7	1.0014482E7	1.0080238E7	37107.0	1.0297557E7	9258796.0	9748781.0	1.0577586E7	9943839.0	39109.0	9945528.0	1.0057003E7	9264782.0	1.0751857E7	1.0061822E7	9363610.0	1.0273119E7	1.199011E7	1.0974041E7	1.0021768E7	45354.0	1.1225257E7	1.0706999E7	1.0648984E7	1.1247159E7	1.145284E7	1.076612E7	9905231.0	1.0419424E7	1.1803827E7	1.1153862E7	59942.0	1.109472E7	7866639.0	1.0776458E7	1.097935E7	1.1258557E7	1.0446042E7	1.0439209E7	9387604.0	1.0415666E7	9089484.0	56653.0	1.048715E7	1.0489949E7	1.0804642E7	9947428.0	9182454.0	9161327.0	1.1105375E7	1.1168957E7	9966364.0	1.159981E7	62164.0	1.0519361E7	1.1356383E7	1.0644223E7		C22H44O6 [ C22 H44 O6, db=96.17, tgt=, overall=96.17 ]		(403.3059, 352514.25)(404.3088, 74823.37)(405.3117, 14017.14)(406.3111, 2158.15)	404.314	C22H44O6	95	Esi-	13.833988
C19H39NO4	1.0	2756775.0	5151518.0	2116475.0	4294325.0	4364629.0	5506238.0	5508155.0	5674835.0	5241990.0	5575022.0	1.0	4938575.0	27930.0	30671.0	1.0	1.0	1.0	1.0	1.0	9355608.0	4595628.0	1.0	6180174.0	5496195.0	6478916.0	2899525.0	6183460.0	3748793.0	4050377.0	7175364.0	3996961.0	7649848.0	1.0	6674044.0	5830255.0	3508599.0	3411808.0	3319362.0	8478018.0	1.0272218E7	5169917.0	5343095.0	3319179.0	1.0	6752167.0	5717678.0	5125820.0	7725763.0	8624693.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4105606.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	32100.0	1.0	1.0	1.0	17671.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	18813.0	1.0	19848.0	1.0	1.0	1.0	1.0	1.0	6157220.0	1.0	1.0		C19H39NO4 [ C19 H39 N O4, db=98.62, tgt=, overall=98.62 ]		(344.2806, 393316.6)(345.2835, 75898.8)(346.2855, 10674.31)(347.2906, 1452.27)	345.2874	C19H39NO4	46	Esi-	12.578002
C22H32O2	102950.0	2785142.0	3824515.0	8397171.0	3131128.0	4826218.0	2126507.0	2487314.0	4036755.0	2914458.0	6255103.0	208048.0	3754457.0	4241212.0	3812051.0	6855961.0	2966549.0	3267087.0	3250944.0	3178668.0	2461991.0	1742169.0	218857.0	3452371.0	2137861.0	1880283.0	2627494.0	3421216.0	3339058.0	2912911.0	2135979.0	3276482.0	2294872.0	282285.0	3609079.0	3579401.0	2622945.0	1363108.0	1991481.0	2576747.0	2591641.0	4252046.0	2641654.0	3389277.0	342404.0	3100755.0	4379275.0	2239046.0	2041439.0	2191680.0	198591.0	2795633.0	2699169.0	3375002.0	5802457.0	5479983.0	5839482.0	5209078.0	2758374.0	2987229.0	6179609.0	365431.0	3754663.0	3879083.0	3871221.0	3244763.0	3629402.0	3023597.0	1512661.0	3694274.0	5050221.0	3582395.0	369090.0	4816778.0	4755967.0	3193066.0	4090144.0	3284401.0	4021623.0	3104216.0	3452396.0	4406446.0	5182807.0	220236.0	4012030.0	5190263.0	2732380.0	5763515.0	4916510.0	3899998.0	4192388.0	4143146.0	5674784.0	3929347.0	260127.0	4443901.0	3929826.0	3585751.0		C22H32O2 [ C22 H32 O2, db=98.21, tgt=, overall=98.21 ]		(327.2332, 494595.9)(328.2358, 109221.65)(329.2393, 15074.24)(330.2425, 1864.82)	328.2405	C22H32O2	98	Esi-	12.560009
C18H36O2	122970.0	1473968.0	1566765.0	1556378.0	1184023.0	1419202.0	1666705.0	1796206.0	1747335.0	1685846.0	1585304.0	139875.0	1645765.0	1430872.0	1464579.0	1662679.0	1397864.0	1349838.0	1489968.0	1352049.0	2256431.0	1414864.0	208577.0	1724096.0	1799589.0	1243539.0	1447303.0	1368882.0	1646448.0	1284597.0	1563786.0	1519330.0	1423979.0	234189.0	1458600.0	1784362.0	1509735.0	1192828.0	1230996.0	1799332.0	1500529.0	1695949.0	1692495.0	1498382.0	1.0	1547959.0	1501179.0	1407129.0	1659413.0	1401076.0	1.0	696622.0	1766433.0	1629301.0	1858823.0	825006.0	1527967.0	938451.0	1155680.0	978486.0	2298087.0	1.0	1152656.0	1107658.0	1097035.0	1199514.0	1281567.0	1183851.0	1054166.0	1217016.0	1460776.0	1389238.0	1.0	1426891.0	2135703.0	1453711.0	3444010.0	1636647.0	1499051.0	1561495.0	2664665.0	1543472.0	1317638.0	1.0	4848669.0	4677787.0	4546656.0	4575859.0	4127097.0	4579057.0	5229626.0	5136576.0	4861757.0	5276122.0	1.0	5631095.0	6178426.0	5103086.0		C18H36O2 [ C18 H36 O2, db=98.68, tgt=, overall=98.68 ]		(283.2646, 276309.0)(284.2675, 50461.24)(285.2704, 5659.37)(286.2751, 547.81)	284.2712	C18H36O2	92	Esi-	13.836011
C22H44O6 Esi-13.638994	1.0	472343.0	380599.0	460798.0	352487.0	496574.0	461801.0	479746.0	526213.0	506652.0	550872.0	1.0	524446.0	1391269.0	1226745.0	1662747.0	1148402.0	1722715.0	1.0	2146406.0	590463.0	725970.0	1.0	805798.0	705158.0	503246.0	848848.0	698559.0	734023.0	466786.0	953736.0	967396.0	771505.0	1.0	637205.0	923499.0	1239861.0	912500.0	1293425.0	816704.0	707674.0	718468.0	1.0	1128844.0	1.0	1300340.0	780139.0	954911.0	1527338.0	916773.0	1.0	1.0	1229122.0	1342133.0	1.0	1317284.0	1486102.0	1657364.0	1864449.0	1641922.0	1997737.0	1.0	2623094.0	1897729.0	1.0	2136479.0	2195117.0	2090263.0	1895433.0	2536769.0	2540230.0	2986804.0	1.0	3045701.0	1.0	2893752.0	3325441.0	3261212.0	1.0	2594587.0	2650075.0	1.0	2005990.0	1.0	4626988.0	4135680.0	4286014.0	3971458.0	3506503.0	3809970.0	4820979.0	4686525.0	4237568.0	5085211.0	1.0	4111122.0	5155123.0	4416539.0		C22H44O6 [ C22 H44 O6, db=97.44, tgt=, overall=97.44 ]		(403.3061, 413790.1)(404.3088, 91981.98)(405.311, 13868.16)(406.3104, 2152.73)	404.3127	C22H44O6 Esi-13.638994	80	Esi-	13.638994
C23H32O2	1.0	100169.0	70109.0	324836.0	162035.0	1664639.0	107674.0	170717.0	115884.0	1977671.0	89691.0	1.0	97057.0	47349.0	67010.0	140757.0	127790.0	53509.0	95735.0	62545.0	189518.0	255151.0	1.0	121607.0	40124.0	316155.0	160578.0	110018.0	205829.0	219445.0	147806.0	284008.0	163620.0	1.0	154787.0	169018.0	3602535.0	146899.0	169785.0	575624.0	138225.0	674148.0	319670.0	212532.0	1.0	230543.0	166844.0	95269.0	54383.0	238027.0	1.0	191657.0	195899.0	42676.0	108529.0	84086.0	98812.0	203488.0	108936.0	434797.0	68776.0	1.0	120110.0	103244.0	347347.0	80906.0	100374.0	89096.0	72510.0	103610.0	96825.0	127309.0	1.0	92902.0	1332002.0	91836.0	133987.0	149216.0	98041.0	106657.0	71227.0	134155.0	223198.0	1.0	297998.0	160703.0	216904.0	157153.0	741151.0	238179.0	266772.0	719642.0	688976.0	217063.0	1.0	294691.0	1659921.0	192905.0		C23H32O2 [ C23 H32 O2, db=97.30, tgt=, overall=97.30 ]		(339.2325, 113437.0)(340.2349, 27459.54)(341.2392, 4100.94)(342.244, 557.55)	340.2393	C23H32O2	88	Esi-	12.788007
C16H32O2	144483.0	1630045.0	1785073.0	1711655.0	1306150.0	1483869.0	1879037.0	2038843.0	1878719.0	1665216.0	1775547.0	193083.0	1651522.0	1681926.0	1613056.0	1919268.0	1659344.0	1564521.0	1658328.0	1495477.0	2642663.0	1443991.0	204367.0	1699432.0	1528006.0	1218440.0	1441568.0	1410222.0	1708721.0	1214458.0	1473663.0	1452446.0	1349623.0	210126.0	1403964.0	1803549.0	1502898.0	1207938.0	1225210.0	1573890.0	1478094.0	1730946.0	1751327.0	1500788.0	218294.0	1492875.0	1489192.0	1389757.0	1619069.0	1370319.0	1.0	1049871.0	1808048.0	1205854.0	1452855.0	1446235.0	1575487.0	1419528.0	1310157.0	1156488.0	2403009.0	1.0	1415119.0	1646969.0	1256650.0	1300216.0	1569671.0	1392803.0	1127611.0	1678180.0	1846558.0	1601473.0	231915.0	1882929.0	1966983.0	1652943.0	2763100.0	1892878.0	2362858.0	1778560.0	2055434.0	2491804.0	2790946.0	254227.0	2583861.0	2230414.0	2191194.0	2210648.0	2252134.0	2333286.0	2675985.0	2554912.0	2693333.0	2497903.0	278006.0	3062330.0	3375227.0	2531807.0		C16H32O2 [ C16 H32 O2, db=99.24, tgt=, overall=99.24 ]		(255.2329, 254238.52)(256.2361, 41050.84)(257.2383, 4142.19)	256.2401	C16H32O2	96	Esi-	12.918007
C19H39ClO2	1.0	1041101.0	1013028.0	1171980.0	1019468.0	1120492.0	957893.0	1009027.0	1028642.0	1193019.0	1068158.0	1.0	1159880.0	944521.0	1004796.0	1028064.0	965382.0	965508.0	1028127.0	1063928.0	1084023.0	978616.0	1.0	1153547.0	1026380.0	1061773.0	1118505.0	1020092.0	1034830.0	1100685.0	1128433.0	1087549.0	1046389.0	1.0	1022294.0	986959.0	1005643.0	984381.0	1029496.0	1120318.0	1183073.0	1132027.0	1088762.0	1127041.0	1.0	1097438.0	998377.0	1074284.0	1196985.0	1131372.0	1.0	1269880.0	1304605.0	1254270.0	1427888.0	1346300.0	1343762.0	1451218.0	1654432.0	1528597.0	1462266.0	1.0	1570699.0	1547709.0	1588646.0	1643299.0	1694007.0	1664039.0	1516960.0	1607203.0	1768945.0	1721458.0	1.0	1772290.0	1408615.0	1745497.0	1820085.0	1851950.0	1754641.0	1762066.0	1664801.0	1785796.0	1619455.0	24227.0	1792837.0	1698537.0	1727226.0	1734751.0	1641409.0	1630857.0	1807439.0	1792199.0	1710593.0	1806269.0	36105.0	1798313.0	1916481.0	1743915.0		C19H39ClO2 [ C19 H39 Cl O2, db=98.14, tgt=, overall=98.14 ]		(393.2774, 154237.8)(394.2804, 33491.43)(395.2748, 51347.04)(396.2772, 11220.58)(397.2763, 2073.92)	394.2843	C19H39ClO2	90	Esi-	13.833007
C20H40O6	1.0	1171259.0	1077021.0	1276340.0	1089738.0	1247444.0	992033.0	1055004.0	1112333.0	1342053.0	1162652.0	1.0	1361429.0	1105002.0	1130319.0	1078929.0	1057875.0	1101202.0	1189292.0	1246642.0	1165999.0	1047287.0	1.0	1496366.0	1282218.0	1272013.0	1239018.0	1118357.0	1115024.0	1293927.0	1327683.0	1325711.0	1223143.0	1.0	1241267.0	1092310.0	1048271.0	1016463.0	1152657.0	1296082.0	1489482.0	1141974.0	1222994.0	1229534.0	1.0	1240864.0	1056666.0	1166161.0	1339366.0	1180654.0	1.0	1329166.0	1207586.0	1203186.0	1218701.0	1278196.0	1142849.0	1341445.0	1512537.0	1259839.0	1228102.0	1.0	1324878.0	1380171.0	1321588.0	1423041.0	1443474.0	1354179.0	1275249.0	1328630.0	1503961.0	1469308.0	1.0	1442104.0	1072288.0	1348577.0	1437679.0	1460743.0	1298327.0	1469412.0	1272114.0	1334185.0	1130316.0	1.0	1381736.0	1347405.0	1465667.0	1230586.0	1114534.0	1156179.0	1494177.0	1482824.0	1254136.0	1529416.0	1.0	1313465.0	1519760.0	1379837.0		C20H40O6 [ C20 H40 O6, db=96.90, tgt=, overall=96.90 ]		(375.2746, 235542.64)(376.2772, 48533.43)(377.2797, 7683.41)(378.2807, 1181.14)	376.2822	C20H40O6	88	Esi-	12.908004
